Date,File Path,Keywords Found
18-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/18-July-1986_Lok Sabha Debates.pdf,"abortion, drugs, sex"
30-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/30-July-1986_Lok Sabha Debates.pdf,drugs
31-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/31-July-1986_Lok Sabha Debates.pdf,drugs
28-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/28-July-1986_Lok Sabha Debates.pdf,No keywords found
29-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/29-July-1986_Lok Sabha Debates.pdf,drugs
5-May-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/5-May-1986_Lok Sabha Debates.pdf,sex
1-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/1-August-1986_Lok Sabha Debates.pdf,drugs
22-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/22-August-1986_Lok Sabha Debates.pdf,sex
5-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/5-August-1986_Lok Sabha Debates.pdf,drugs
4-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/4-August-1986_Lok Sabha Debates.pdf,drugs
6-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/6-August-1986_Lok Sabha Debates.pdf,No keywords found
5-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/5-November-1986_Lok Sabha Debates.pdf,drugs
7-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/7-August-1986_Lok Sabha Debates.pdf,drugs
8-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/8-August-1986_Lok Sabha Debates.pdf,No keywords found
14-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/14-August-1986_Lok Sabha Debates.pdf,"drugs, sex"
13-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/13-August-1986_Lok Sabha Debates.pdf,No keywords found
4-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/4-November-1986_Lok Sabha Debates.pdf,drugs
7-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/7-November-1986_Lok Sabha Debates.pdf,"drugs, sex"
12-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/12-November-1986_Lok Sabha Debates.pdf,No keywords found
6-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/6-November-1986_Lok Sabha Debates.pdf,"abortion, drugs"
14-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/14-November-1986_Lok Sabha Debates.pdf,drugs
11-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/11-November-1986_Lok Sabha Debates.pdf,drugs
13-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/13-November-1986_Lok Sabha Debates.pdf,"drugs, sex"
19-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/19-November-1986_Lok Sabha Debates.pdf,No keywords found
18-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/18-November-1986_Lok Sabha Debates.pdf,drugs
10-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/10-November-1986_Lok Sabha Debates.pdf,"drugs, sex"
23-February-1987,/Users/Aaryan/Desktop/Lok Sabha Debates/1987/23-February-1987_Lok Sabha Debates.pdf,No keywords found
21-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/21-November-1986_Lok Sabha Debates.pdf,drugs
12-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/12-August-1986_Lok Sabha Debates.pdf,drugs
28-February-1987,/Users/Aaryan/Desktop/Lok Sabha Debates/1987/28-February-1987_Lok Sabha Debates.pdf,drugs
20-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/20-November-1986_Lok Sabha Debates.pdf,drugs
8-December-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/8-December-1986_Lok Sabha Debates.pdf,drugs
17-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/17-November-1986_Lok Sabha Debates.pdf,"drugs, sex"
27-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/27-November-1986_Lok Sabha Debates.pdf,"abortion, drugs, sex"
24-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/24-November-1986_Lok Sabha Debates.pdf,No keywords found
